stamp;cout;dig
+CYMNIANI;1;dig11
+MVRINI;1;dig5
SAXOFE.;1;dig6
+N.;1;dig4
+ENNIVL;1;dig8
LFC+;1;dig4
+VA;1;dig11
LSPL+V.;2;dig11
FGRV+;1;dig11
FGRV+;1;dig3
MAM+;1;dig11
SALS;2;dig7
SALS;1;dig3
PCICELI+;1;dig9
AVRIHERACEPATGR;1;dig11
LI.;1;dig6
LI.;1;dig11
ACHB;3;dig8
ACHB;1;dig1
NICXII.;1;dig11
QSASER;1;dig8
QSASER;1;dig12
QSASER;2;dig1
POPVLI;1;dig10
+EY+;1;dig4
+CCFC;1;dig5
+FP;1;dig8
IIQAETS;1;dig7
IIQAETS;1;dig3
PNN.;1;dig11
MLII;1;dig10
QMFS;1;dig5
L+PQ+;1;dig4
DFTR;1;dig5
PCICELI;1;dig6
PCICELI;4;dig8
PCICELI;1;dig11
PCAEHER;1;dig6
PCAEHER;2;dig2
IIIE.NI+;1;dig10
RV+;1;dig10
FIG+;1;dig11
LFCD+;2;dig11
PCICELI;1;dig10
BVRB;1;dig4
BVRB;1;dig11
LAEL;1;dig12
LAEL;1;dig1
QSABEL;2;dig8
QSABEL;1;dig12
LAEF;2;dig7
ERO+;2;dig5
CPC;1;dig12
+N+;1;dig11
MEEVPO;5;dig2
PMOCVFIGEDO;5;dig4
LIS+CFS+;1;dig11
QPPHRY+;1;dig6
ARAXI+;1;dig11
LVCRE;1;dig4
IIMIN;1;dig4
LIMELISSICI;1;dig5
IE;1;dig3
MIM;1;dig10
+FN.;1;dig2
HERMESF;4;dig7
DORI;1;dig7
+N;2;dig4
+N;1;dig11
LAL;1;dig8
LAL;1;dig6
LAL;7;dig12
LAL;1;dig1
LAF;1;dig5
LAF;2;dig7
LAF;1;dig3
+MSEL;1;dig5
PMOC.FIGED.;1;dig4
+LERIA+;1;dig11
LIT;1;dig11
QAEAD;1;dig6
RIVES;1;dig5
IIIVNIM+ETMEL+;1;dig11
+PVLI;1;dig4
QFATS;1;dig12
FXIIII;3;dig5
QVIFS;1;dig11
QFRMED;1;dig11
QNDCAERA+;1;dig12
CHRESTI.;1;dig8
+MINAC+AL;1;dig4
IIAVRHERACLAEPATETFILFB+;1;dig11
LIDFITA;1;dig8
QVINTI;1;dig5
PRVNICIANI;3;dig4
MATDFMARSIANESSES;1;dig3
ROM+;1;dig11
+N+VT+;1;dig11
SMP;1;dig3
+OM;1;dig12
LFC+;1;dig11
FM;1;dig5
SAXOFERR+;1;dig12
+G;1;dig9
.N.;2;dig5
LFC;1;dig10
CLFC.;1;dig12
QF.;1;dig6
QF.;1;dig8
PARVA;3;dig11
PCLODICELI;2;dig8
PCLODICELI;2;dig10
MVS;3;dig7
+NI;1;dig10
AEMEVP;1;dig7
AEMEVP;2;dig3
MATDF+MA+;1;dig11
FSCIMNIANO;1;dig4
FSCIMNIANI;3;dig11
.IGBAR;1;dig4
PN+;1;dig11
ALF;1;dig10
+YCES.;1;dig4
F+;1;dig10
CAEFM;1;dig1
QESVSV;3;dig5
+CNNI.;1;dig10
FIGLINA+BECIAN.;1;dig11
+GGGNNN+EARIFCEP.;1;dig11
+Q;1;dig9
+LVI+;1;dig5
+FXIIII+;1;dig10
+ON+;1;dig12
QFC;1;dig10
SCAL;2;dig10
ABA;3;dig11
+LISSI+SSE;2;dig5
LMVE;6;dig2
IVCVND+;1;dig4
+CC;1;dig11
FXIIIII;1;dig11
+MF+;1;dig4
OPTATIF;1;dig5
QIM.;1;dig8
ENNIVLI;1;dig9
LFCCVFS;5;dig5
LFCCVFS;5;dig11
LFCCVFP;2;dig5
LFCCVFP;4;dig7
LFCCVFP;5;dig3
MCFRI;1;dig12
LFCCVFC;1;dig4
LFCCVFC;1;dig5
LS+S+;1;dig8
PRVNIC.;1;dig4
LFCCVFM;1;dig4
LFCCVFM;1;dig5
LFCCVFM;3;dig11
+IVN+;1;dig5
QMAS;1;dig7
SAXOFERRE.;1;dig12
+FI+;1;dig11
SPSE;1;dig1
PARVA;1;dig11
LFCRDEP;1;dig11
ECCVEPV.;1;dig11
LPO;1;dig8
+SEC+;1;dig7
LIMFPATE;2;dig5
.CAV;1;dig11
+BO;1;dig10
FCM+;1;dig10
+AR+;1;dig11
+FIN;1;dig7
CAVF+;3;dig5
LVPXII;1;dig11
RIVES;4;dig7
RIVES;2;dig3
VICTORINI;2;dig3
FLOS;5;dig5
FRIGD;1;dig9
CSACF+;1;dig12
MHASCL;1;dig11
AVG+;1;dig11
+LF+;1;dig11
V+;1;dig6
CSP;1;dig2
MCF.;1;dig11
BAIS;2;dig5
+R+;1;dig5
+N.;1;dig10
CMARP;1;dig3
GRADOS;1;dig4
GRADOS;1;dig5
GRADOS;2;dig11
.AVF+;1;dig5
LFFG;1;dig5
LFFG;7;dig7
LFFG;10;dig3
MAEMRVS;1;dig10
LFFC;4;dig5
LFFC;1;dig8
MCOR;1;dig9
+QY.;1;dig4
LFFV;2;dig7
LFFV;3;dig5
LFFV;3;dig3
LFFV;1;dig11
PN.;1;dig11
+QFLI;1;dig11
+VRELHERACLA+ETFILFC+;1;dig10
LISILVEST;1;dig11
VMFC;1;dig8
VMFC;2;dig12
+I+;1;dig5
CAS;4;dig4
VIRGIN;1;dig2
VIRGIN;2;dig10
LFFCAL;1;dig6
BAIS;2;dig5
AVGGGNNN+LEARIFBAR;1;dig11
MQ.F;1;dig12
QMR.;1;dig1
+IH+;2;dig11
P+;1;dig11
XIIIIH.;2;dig5
D+;1;dig8
+C+PR;1;dig12
+CC+FP;1;dig11
.FCCVFM;1;dig11
CLE+;1;dig12
MFC;1;dig4
+IHP;1;dig5
QPPHRYXI;1;dig6
GRADO;1;dig5
+ETFILFBA.;1;dig11
QIVLINIGRI;1;dig2
MAEMRVS;1;dig6
MAEMRVS;1;dig2
+ELPISTI;1;dig4
MAEARIKICIANI;1;dig10
QFC;1;dig9
+NINI;1;dig4
MCS;7;dig7
MCS;3;dig3
LF+;1;dig7
LF+;4;dig3
DEMOS+;1;dig11
IIIENNIIVL;2;dig2
+ANESSE.;1;dig11
LQR;1;dig5
LQS;3;dig7
LQS;2;dig3
LQS;3;dig11
ACIRGI;1;dig4
ACIRGI;2;dig7
ACIRGI;2;dig10
ACIRGI;1;dig3
LQA;2;dig4
LQA;1;dig5
LQA;3;dig11
AE+;1;dig6
+N;1;dig11
+R;1;dig11
SÍMBOLO;1;dig11
CEFP;1;dig6
CEFP;4;dig2
+DO;1;dig4
SAXXOFERREO;2;dig12
+F;1;dig11
+CCVCA.;1;dig4
+CE;1;dig1
GAPF;1;dig5
.MOCV.IGEDO;1;dig4
PMOCVFIGEDO;2;dig4
PMOCVFIGEDO;1;dig5
PMOCVFIGEDO;1;dig11
FIGLINACIRG+RIANI;1;dig11
EQFAT;2;dig12
FBELI;2;dig12
FBELI;3;dig1
IIIENNIORIVLIOR;1;dig8
IIIENNIORIVLIOR;1;dig11
+RMOC;1;dig2
IIIENNIORIVLIOR;1;dig9
CRA;4;dig4
CRA;3;dig5
CRA;1;dig8
.MPL;1;dig5
MCFR+;1;dig12
DFTRBT;1;dig3
ARVA;1;dig4
ARVA;3;dig11
FICCRV;1;dig4
.N.;1;dig11
.SABEL;1;dig8
+VEL;1;dig11
SEC+;1;dig11
+ESTRI;1;dig11
HQF+;1;dig6
FBELLI;1;dig12
+EAV;1;dig11
+AG+;1;dig1
CIDVIII.;1;dig11
CAS;1;dig4
LCP;1;dig7
POPV+;2;dig4
PO+;1;dig4
.ATDEF+ASMARSIA;1;dig4
LCM;2;dig7
+S+NI+;1;dig5
+AGD+;1;dig10
FIGME.;1;dig4
FIGME.;1;dig10
AVGG.;1;dig11
+ELISSI+ISSE;1;dig5
PN+;1;dig4
+NA+;1;dig4
F.GEDPPAEF;1;dig6
MQFF;1;dig5
MQFF;2;dig12
MQFF;2;dig1
FCCVFPAC;1;dig5
CELERINI;1;dig5
PHILETV+;1;dig8
+AR+;1;dig5
+NACRETCAL;1;dig11
SCALES;1;dig6
ALFO;5;dig12
ALFO;4;dig8
ALFO;4;dig1
SEC+;1;dig10
NF.;1;dig11
.CCV+;1;dig11
QSASC;1;dig8
QSASC;2;dig1
MFEPAPHRODITI;1;dig1
VIRAV;2;dig1
CALLIS;2;dig4
CALLIS;1;dig5
CALLIS;1;dig7
CALLIS;2;dig11
+VFS;1;dig11
FSC+;1;dig3
RVFIPO;1;dig6
QI.;1;dig4
+VLC;1;dig10
SCAL;2;dig12
SCAL;1;dig2
PPC;3;dig7
+IDFIX+;1;dig12
AFV;1;dig9
+LF+ACE+;1;dig5
GAF;1;dig5
GAF;1;dig12
TAN;1;dig10
LIV+LIS+;1;dig11
.CN.;1;dig11
ALB+CIRC;1;dig11
HRM;1;dig4
+NR+;1;dig10
PQAR;1;dig8
QSSATVRNINI;2;dig2
.NAEC;1;dig8
FICB+;1;dig4
VIRGIN;1;dig2
.ATZCOL;2;dig10
TIV;1;dig2
QNDAND;1;dig12
QNDAND;1;dig8
+SP;1;dig11
+GEDPPAEF;1;dig5
QIM;8;dig7
QIM;6;dig3
THERTHY;1;dig5
FPATERNI;3;dig5
QIA;1;dig1
.AXOFERRI;1;dig6
+VII.;1;dig11
LFFC;1;dig5
+VAL+;1;dig4
+PNSL+;1;dig7
.IRGIN;1;dig10
LSLS;2;dig2
P+;2;dig11
MF.;1;dig5
MF.;1;dig11
MATMCITNATS.;1;dig4
+FP;1;dig4
.FCCVFP;1;dig5
FIG+;2;dig4
+AE+EPAR;1;dig11
LIVNIM+;1;dig11
IICLM;1;dig8
LLF;1;dig7
+N+P;1;dig6
+F;1;dig7
+F;1;dig3
+S;2;dig7
Q+Q;1;dig12
SAXOFERREO;1;dig7
SAXOFERREO;9;dig12
SAXOFERREO;4;dig1
PQAR.;1;dig12
TFA+;2;dig4
LIS;1;dig11
+CO+VLE+;1;dig11
AVGNNN;1;dig11
FM+;2;dig4
LFCCV.;1;dig11
+VLII+;1;dig4
+LFCC+;1;dig11
AQFVA;2;dig8
AQFVA;2;dig1
+NACI+M+;1;dig11
PMV;2;dig7
PMS;1;dig7
PMS;1;dig8
+GGNNN+GVLCE+;1;dig11
FELIC;6;dig2
+SIDI+;1;dig11
+VCV;1;dig11
FEL;1;dig4
MC+;1;dig12
QNDPRI;1;dig12
GNACOR;4;dig8
LFC.D+;1;dig11
CLIFIS.;1;dig11
PVFAVSTINI;1;dig6
PVFAVSTINI;5;dig2
CFPP;1;dig11
EFPO;1;dig6
EFPO;1;dig8
N+FD+;1;dig11
LFCDV+;1;dig11
+OR+;1;dig8
LFCC+;2;dig11
EVHEL+;1;dig4
MFFB;1;dig7
FCVCVM;4;dig4
FCVCVM;1;dig11
CIB;1;dig2
+CR+;1;dig11
.XIIII;2;dig5
MSP;1;dig7
CIS;1;dig5
LFCCV+;3;dig5
LFCCV+;1;dig11
LFCRDEP;1;dig11
EQF.;1;dig8
PNN+;1;dig11
+FC+;1;dig5
+FC+;1;dig11
PCHO;1;dig8
PCHO;3;dig12
PCHO;1;dig2
I+;1;dig4
GAV+;3;dig5
+M+ISSI;1;dig11
+BA+;1;dig5
CELERI+;1;dig5
LIDFITAL;1;dig12
.VHEL.;1;dig4
FX+;1;dig5
FX+;1;dig3
ASVLE;1;dig4
ASVLE;3;dig11
LFCCVFS+;1;dig5
L+;1;dig5
